#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
gun_6_x2,,152,gun_6_x2,,,tsesarevich_gun_152_x2,1,1.07,1.25,,dreadnought_gun_178_x2,1.125,1.225,1.18,,dreadnought_gun_178_x2,1.15,1.25,1.2,,iowa_gun_b_127_x2,1.35,1.51,1.18,,iowa_gun_b_127_x2,1.37,1.53,1.2,,,,,,,,,,,
gun_6_x3,,152,gun_6_x3,,,tsesarevich_gun_152_x3,1,1.07,1.25,,dreadnought_gun_178_x3,1.125,1.225,1.18,,dreadnought_gun_178_x3,1.15,1.25,1.2,,iowa_gun_b_127_x3,1.35,1.51,1.18,,iowa_gun_b_127_x3,1.37,1.53,1.2,,,,,,,,,,,
gun_7_x1,,178,gun_7_x1,,,tsesarevich_gun_152_x1,1.1,1.17,1.25,,agamemnon_gun_b_228_x1,1,1.085,1.15,,warrior_gun_228_x1,0.975,1,1.15,,iowa_gun_b_127_x1,1.55,1.71,1.18,,pola_gun_203_x1,1,1.05,1.25,,,,,,,,,,,
gun_7_x2,,178,gun_7_x2,,,tsesarevich_gun_152_x2,1.1,1.17,1.25,,agamemnon_gun_b_228_x2,1,1.085,1.15,,warrior_gun_228_x2,0.975,1,1.15,,iowa_gun_b_127_x2,1.55,1.71,1.18,,pola_gun_203_x2,1,1.05,1.25,,,,,,,,,,,
gun_7_x3,,178,gun_7_x3,,,tsesarevich_gun_152_x3,1.1,1.17,1.25,,agamemnon_gun_b_228_x3,1,1.085,1.15,,warrior_gun_228_x3,0.975,1,1.15,,iowa_gun_b_127_x3,1.55,1.71,1.18,,pola_gun_203_x3,1,1.05,1.25,,,,,,,,,,,
gun_8_x1,,203,gun_8_x1,,,tsesarevich_gun_152_x1,1.2,1.275,1.25,,agamemnon_gun_228_x1,1.05,1.085,1.15,,warrior_gun_228_x1,1.025,1.095,1.15,,iowa_gun_b_127_x1,1.75,1.95,1.18,,pola_gun_203_x1,1.075,1.18,1.25,,,,,,,,,,,
gun_8_x2,,203,gun_8_x2,,,tsesarevich_gun_152_x2,1.2,1.275,1.25,,agamemnon_gun_228_x2,1.05,1.085,1.15,,warrior_gun_228_x2,1.025,1.095,1.15,,iowa_gun_b_127_x2,1.75,1.95,1.18,,pola_gun_203_x2,1.075,1.18,1.25,,,,,,,,,,,
gun_8_x3,,203,gun_8_x3,,,tsesarevich_gun_152_x3,1.2,1.275,1.25,,agamemnon_gun_228_x3,1.05,1.085,1.15,,warrior_gun_228_x3,1.025,1.095,1.15,,iowa_gun_b_127_x3,1.75,1.95,1.18,,pola_gun_203_x3,1.075,1.18,1.25,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_9_x1,,229,gun_9_x1,,,brandenburg_gun_279_x1,0.8,0.875,2,,agamemnon_gun_228_x1,1.1,1.195,1.05,,warrior_gun_228_x1,1.1,1.195,1,,dreadnought_gun_c_305_x1,0.9,0.93,1.14,,pola_gun_203_x1,1.2,1.27,1.25,,,,,,,,,,,
gun_9_x2,,229,gun_9_x2,,,brandenburg_gun_279_x2,0.8,0.875,2,,agamemnon_gun_228_x2,1.1,1.195,1.05,,warrior_gun_228_x2,1.1,1.195,1,,dreadnought_gun_c_305_x2,0.9,0.93,1.14,,pola_gun_203_x2,1.2,1.27,1.25,,,,,,,,,,,
gun_9_x3,,229,gun_9_x3,,,brandenburg_gun_279_x3,0.8,0.875,2,,agamemnon_gun_228_x3,1.1,1.195,1.05,,warrior_gun_228_x3,1.1,1.195,1,,dreadnought_gun_c_305_x3,0.9,0.93,1.14,,pola_gun_203_x3,1.2,1.27,1.25,,,,,,,,,,,
gun_10_x1,,254,gun_10_x1,,,brandenburg_gun_279_x1,0.91,0.99,1.88,,agamemnon_gun_305_x1,0.9,0.975,1.2,,warrior_gun_228_x1,1.225,1.33,1,,dreadnought_gun_b_305_x1,0.955,1.02,1.14,,pola_gun_203_x1,1.3,1.41,1.25,,,,,,,,,,,
gun_10_x2,,254,gun_10_x2,,,brandenburg_gun_279_x2,0.91,0.99,1.88,,agamemnon_gun_305_x2,0.9,0.975,1.2,,warrior_gun_228_x2,1.225,1.33,1,,dreadnought_gun_b_305_x2,0.955,1.02,1.14,,pola_gun_203_x2,1.3,1.41,1.25,,,,,,,,,,,
gun_10_x3,,254,gun_10_x3,,,brandenburg_gun_279_x3,0.91,0.99,1.88,,agamemnon_gun_305_x3,0.9,0.975,1.2,,warrior_gun_228_x3,1.225,1.33,1,,dreadnought_gun_b_305_x3,0.955,1.02,1.14,,pola_gun_203_x3,1.3,1.41,1.25,,,,,,,,,,,
gun_11_x1,,279,gun_11_x1,,,brandenburg_gun_279_x1,1,1.075,1.75,,agamemnon_gun_305_x1,1,1.07,1.2,,dreadnought_gun_305_x1,1.025,1.1,1.14,,dreadnought_gun_b_305_x1,1.05,1.12,1.14,,pola_gun_203_x1,1.45,1.56,1.25,,,,,,,,,,,
gun_11_x2,,279,gun_11_x2,,,brandenburg_gun_279_x2,1,1.075,1.75,,agamemnon_gun_305_x2,1,1.07,1.2,,dreadnought_gun_305_x2,1.025,1.1,1.14,,dreadnought_gun_b_305_x2,1.05,1.12,1.14,,pola_gun_203_x2,1.45,1.56,1.25,,,,,,,,,,,
gun_11_x3,,279,gun_11_x3,,,brandenburg_gun_279_x3,1,1.075,1.75,,agamemnon_gun_305_x3,1,1.07,1.2,,dreadnought_gun_305_x3,1.025,1.1,1.14,,dreadnought_gun_b_305_x3,1.05,1.12,1.14,,pola_gun_203_x3,1.45,1.56,1.25,,,,,,,,,,,
gun_12_x1,,305,gun_12_x1,,,brandenburg_gun_279_x1,1.09,1.16,1.1,1.07,irresistible_gun_305_x1,1.1,1.17,1.1,,dreadnought_gun_305_x1,1.125,1.2,1.14,,dreadnought_gun_b_305_x1,1.15,1.22,1.14,,pola_gun_203_x1,1.6,1.74,1.25,,,,,,,,,,,
gun_12_x2,,305,gun_12_x2,,,brandenburg_gun_279_x2,1.09,1.16,1.1,1.07,irresistible_gun_305_x2,1.1,1.17,1.1,,dreadnought_gun_305_x2,1.125,1.2,1.14,,dreadnought_gun_b_305_x2,1.15,0.84,1.14,,pola_gun_203_x2,1.6,1.74,1.25,,,,,,,,,,,
gun_12_x3,,305,gun_12_x3,,,brandenburg_gun_279_x3,1.09,1.16,1.1,1.07,irresistible_gun_305_x3,1.1,1.17,1.1,,dreadnought_gun_305_x3,1.125,1.2,1.14,,dreadnought_gun_b_305_x3,1.15,0.84,1.14,,pola_gun_203_x3,1.6,1.74,1.25,,,,,,,,,,,
gun_13_x1,,330,gun_13_x1,,,brandenburg_gun_279_x1,1.18,1.22,1.25,,irresistible_gun_305_x1,1.2,1.27,1.1,,dreadnought_gun_305_x1,1.225,1.3,1.14,,dreadnought_gun_b_305_x1,1.25,0.84,1.14,,iowa_gun_406_x1,0.76,0.79,1.33,,,,,,,,,,,
gun_13_x2,,330,gun_13_x2,,,brandenburg_gun_279_x2,1.18,1.22,1.25,,irresistible_gun_305_x2,1.2,1.27,1.1,,dreadnought_gun_305_x2,1.225,1.3,1.14,,dreadnought_gun_b_305_x2,1.25,0.84,1.14,,iowa_gun_406_x2,0.76,0.79,1.33,,,,,,,,,,,
gun_13_x3,,330,gun_13_x3,,,brandenburg_gun_279_x3,1.18,1.22,1.25,,irresistible_gun_305_x3,1.2,1.27,1.1,,dreadnought_gun_305_x3,1.225,1.3,1.14,,dreadnought_gun_b_305_x3,1.25,0.84,1.14,,iowa_gun_406_x3,0.76,0.79,1.33,,,,,,,,,,,
gun_14_x1,,356,gun_14_x1,,,irresistible_gun_305_x1,1.275,1.34,1.1,,dreadnought_gun_305_x1,1.3,1.365,1.12,,dreadnought_gun_b_305_x1,1.325,1.39,1.14,,iowa_gun_406_x1,0.802,0.84,1.31,,iowa_gun_406_x1,0.81,0.85,1.33,,,,,,,,,,,
gun_14_x2,,356,gun_14_x2,,,irresistible_gun_305_x2,1.275,1.34,1.1,,dreadnought_gun_305_x2,1.3,1.365,1.12,,dreadnought_gun_b_305_x2,1.325,1.39,1.14,,iowa_gun_406_x2,0.802,0.84,1.31,,iowa_gun_406_x2,0.81,0.85,1.33,,,,,,,,,,,
gun_14_x3,,356,gun_14_x3,,,irresistible_gun_305_x3,1.275,1.34,1.1,,dreadnought_gun_305_x3,1.3,1.365,1.12,,dreadnought_gun_b_305_x3,1.325,1.39,1.14,,iowa_gun_406_x3,0.802,0.84,1.31,,iowa_gun_406_x3,0.81,0.85,1.33,,,,,,,,,,,
gun_15_x1,,381,gun_15_x1,,,irresistible_gun_305_x1,1.375,1.44,1.1,,dreadnought_gun_305_x1,1.4,1.46,1.12,,dreadnought_gun_b_305_x1,1.425,1.5,1.14,,iowa_gun_406_x1,0.858,0.89,1.31,,iowa_gun_406_x1,0.87,0.9,1.33,,,,,,,,,,,
gun_15_x2,,381,gun_15_x2,,,irresistible_gun_305_x2,1.375,1.44,1.1,,dreadnought_gun_305_x2,1.4,1.46,1.12,,dreadnought_gun_b_305_x2,1.425,1.5,1.14,,iowa_gun_406_x2,0.858,0.89,1.31,,iowa_gun_406_x2,0.87,0.9,1.33,,,,,,,,,,,
gun_15_x3,,381,gun_15_x3,,,irresistible_gun_305_x3,1.375,1.44,1.1,,dreadnought_gun_305_x3,1.4,1.46,1.12,,dreadnought_gun_b_305_x3,1.425,1.5,1.14,,iowa_gun_406_x3,0.858,0.89,1.31,,iowa_gun_406_x3,0.87,0.9,1.33,,,,,,,,,,,
gun_16_x1,,406,gun_16_x1,,,dreadnought_gun_305_x1,1.475,1.555,1.1,,dreadnought_gun_305_x1,1.5,1.574,1.12,,yamato_gun_460_x1,0.888,0.95,1.24,,iowa_gun_406_x1,0.913,0.94,1.31,,iowa_gun_406_x1,0.92,0.96,1.33,,,,,,,,,,,
gun_16_x2,,406,gun_16_x2,,,dreadnought_gun_305_x2,1.475,1.555,1.1,,dreadnought_gun_305_x2,1.5,1.574,1.12,,yamato_gun_460_x2,0.888,0.95,1.24,,iowa_gun_406_x2,0.913,0.94,1.31,,iowa_gun_406_x2,0.92,0.96,1.33,,,,,,,,,,,
gun_16_x3,,406,gun_16_x3,,,dreadnought_gun_305_x3,1.475,1.555,1.1,,dreadnought_gun_305_x3,1.5,1.574,1.12,,yamato_gun_460_x3,0.888,0.95,1.24,,iowa_gun_406_x3,0.913,0.94,1.31,,iowa_gun_406_x3,0.92,0.96,1.33,,,,,,,,,,,
gun_17_x1,,432,gun_17_x1,,,yamato_gun_460_x1,0.95,0.975,1.2,,yamato_gun_460_x1,0.96,0.99,1.22,,yamato_gun_b_460_x1,0.974,1,1.24,,iowa_gun_406_x1,0.969,1.01,1.31,,iowa_gun_406_x1,0.98,1.02,1.33,,,,,,,,,,,
gun_17_x2,,432,gun_17_x2,,,yamato_gun_460_x2,0.95,0.975,1.2,,yamato_gun_460_x2,0.96,0.99,1.22,,yamato_gun_b_460_x2,0.974,1,1.24,,iowa_gun_406_x2,0.969,1.01,1.31,,iowa_gun_406_x2,0.98,1.02,1.33,,,,,,,,,,,
gun_17_x3,,432,gun_17_x3,,,yamato_gun_460_x3,0.95,0.975,1.2,,yamato_gun_460_x3,0.96,0.99,1.22,,yamato_gun_b_460_x3,0.974,1,1.24,,iowa_gun_406_x3,0.969,1.01,1.31,,iowa_gun_406_x3,0.98,1.02,1.33,,,,,,,,,,,
gun_18_x1,,457,gun_18_x1,,,yamato_gun_460_x1,1,1.04,1.2,,yamato_gun_460_x1,1.0125,1.053,1.22,,yamato_gun_b_460_x1,1.025,1.05,1.24,,yamato_gun_b_460_x1,1.04,1.06,1.26,,yamato_gun_b_460_x1,1.05,1.076,1.28,,,,,,,,,,,
gun_18_x2,,457,gun_18_x2,,,yamato_gun_460_x2,1,1.04,1.2,,yamato_gun_460_x2,1.0125,1.053,1.22,,yamato_gun_b_460_x2,1.025,1.05,1.24,,yamato_gun_b_460_x2,1.04,1.06,1.26,,yamato_gun_b_460_x2,1.05,1.076,1.28,,,,,,,,,,,
gun_18_x3,,457,gun_18_x3,,,yamato_gun_460_x3,1,1.04,1.2,,yamato_gun_460_x3,1.0125,1.053,1.22,,yamato_gun_b_460_x3,1.025,1.05,1.24,,yamato_gun_b_460_x3,1.04,1.06,1.26,,yamato_gun_b_460_x3,1.05,1.076,1.28,,,,,,,,,,,
gun_19_x1,,483,gun_19_x1,,,yamato_gun_460_x1,1.05,1.085,1.2,,yamato_gun_460_x1,1.06,1.1,1.22,,yamato_gun_b_460_x1,1.076,1.1,1.24,,yamato_gun_b_460_x1,1.09,1.11,1.26,,yamato_gun_b_460_x1,1.1,1.13,1.28,,,,,,,,,,,
gun_19_x2,,483,gun_19_x2,,,yamato_gun_460_x2,1.05,1.085,1.2,,yamato_gun_460_x2,1.06,1.1,1.22,,yamato_gun_b_460_x2,1.076,1.1,1.24,,yamato_gun_b_460_x2,1.09,1.11,1.26,,yamato_gun_b_460_x2,1.1,1.13,1.28,,,,,,,,,,,
gun_19_x3,,483,gun_19_x3,,,yamato_gun_460_x3,1.05,1.085,1.2,,yamato_gun_460_x3,1.06,1.1,1.22,,yamato_gun_b_460_x3,1.076,1.1,1.24,,yamato_gun_b_460_x3,1.09,1.11,1.26,,yamato_gun_b_460_x3,1.1,1.13,1.28,,,,,,,,,,,
gun_20_x1,,508,gun_20_x1,,,yamato_gun_460_x1,1.1,1.14,1.2,,yamato_gun_460_x1,1.11,1.15,1.22,,yamato_gun_b_460_x1,1.278,1.16,1.24,,yamato_gun_b_460_x1,1.14,1.1745,1.26,,yamato_gun_b_460_x1,1.16,1.19,1.28,,,,,,,,,,,
gun_20_x2,,508,gun_20_x2,,,yamato_gun_460_x2,1.1,1.14,1.2,,yamato_gun_460_x2,1.11,1.15,1.22,,yamato_gun_b_460_x2,1.278,1.16,1.24,,yamato_gun_b_460_x2,1.14,1.1745,1.26,,yamato_gun_b_460_x2,1.16,1.19,1.28,,,,,,,,,,,
gun_20_x3,,508,gun_20_x3,,,yamato_gun_460_x3,1.1,1.14,1.2,,yamato_gun_460_x3,1.11,1.15,1.22,,yamato_gun_b_460_x3,1.278,1.16,1.24,,yamato_gun_b_460_x3,1.14,1.1745,1.26,,yamato_gun_b_460_x3,1.16,1.19,1.28,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casemate_1,,25,casemate_1,,,casemate_gun_152_x1,0.67,0.75,4,,casemate_gun_152_x1,0.686,0.765,4.05,,casemate_gun_150_x1,0.7,0.78,4.1,,casemate_gun_150_x1,0.714,0.8,4.15,,casemate_gun_150_x1,0.73,0.81,4.2,,,,,,,,,,,
casemate_2,,51,casemate_2,,,casemate_gun_152_x1,0.77,0.84,4,,casemate_gun_152_x1,0.784,0.86,4.05,,casemate_gun_150_x1,0.8,0.878,4.1,,casemate_gun_150_x1,0.816,0.9,4.15,,casemate_gun_150_x1,0.83,0.91,4.2,,,,,,,,,,,
casemate_3,,76,casemate_3,,,casemate_gun_152_x1,0.86,0.94,4,,casemate_gun_152_x1,0.882,0.95,4.05,,casemate_gun_150_x1,0.9,0.975,4.1,,casemate_gun_150_x1,0.918,0.99,4.15,,casemate_gun_150_x1,0.94,1.01,4.2,,,,,,,,,,,
casemate_4,,102,casemate_4,,,casemate_gun_152_x1,0.96,1.08,4,,casemate_gun_152_x1,0.98,1.1,4.05,,casemate_gun_150_x1,1,1.12,4.1,,casemate_gun_150_x1,1.02,1.14,4.15,,casemate_gun_150_x1,1.04,1.17,4.2,,,,,,,,,,,
casemate_5,,127,casemate_5,,,casemate_gun_152_x1,1.1,1.29,1.5,,casemate_gun_152_x1,1.127,1.31,1.55,,casemate_gun_150_x1,1.15,1.34,1.575,,casemate_gun_150_x1,1.173,1.37,1.6,,casemate_gun_150_x1,1.2,1.39,1.65,,,,,,,,,,,
casemate_6,,152,casemate_6,,,casemate_gun_152_x1,1.31,1.45,1,,casemate_gun_152_x1,1.35,1.48,1.05,,casemate_gun_150_x1,1.375,1.51,1.1,,casemate_gun_150_x1,1.4,1.54,1.15,,casemate_gun_150_x1,1.43,1.57,0.9,,,,,,,,,,,
casemate_7,,178,casemate_7,,,casemate_gun_150_x1,1.49,1.59,1,,casemate_gun_150_x1,1.519,1.62,1.05,,casemate_gun_150_x1,1.55,1.66,1.1,,casemate_gun_150_x1,1.581,1.69,1.15,,casemate_gun_150_x1,1.62,1.72,0.9,,,,,,,,,,,
casemate_8,,203,casemate_8,,,casemate_gun_150_x1,1.63,1.6,1,,casemate_gun_150_x1,1.666,1.72,1.05,,casemate_gun_150_x1,1.7,1.64,1.1,,casemate_gun_150_x1,1.734,1.66,1.15,,casemate_gun_150_x1,1.77,1.68,0.9,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_3_x1_germany_bb, bc, ca,cl",,76,gun_3_x1,germany,"bb, bc, ca,cl",,,,,,,,,,,,,,,,bismarck_gun_105_x1,0.93,1.04,1,,bismarck_gun_105_x1,0.94,1.06,1.025,,,,,,,,,,,
"gun_3_x2_germany_bb, bc, ca,cl",,76,gun_3_x2,germany,"bb, bc, ca,cl",,,,,,,,,,,,,,,,bismarck_gun_105_x2,0.93,1.04,1,,bismarck_gun_105_x2,0.94,1.06,1.025,,,,,,,,,,,
"gun_3_x3_germany_bb, bc, ca,cl",,76,gun_3_x3,germany,"bb, bc, ca,cl",,,,,,,,,,,,,,,,bismarck_gun_105_x3,0.93,1.04,1,,bismarck_gun_105_x3,0.94,1.06,1.025,,,,,,,,,,,
"gun_4_x1_germany_bb, bc, ca",,102,gun_4_x1,germany,"bb, bc, ca",,,,,,vdt_gun_200_x1,0.9,0.975,4.05,,spee_gun_150_x1,1.05,1.22,1.15,,bismarck_gun_105_x1,1.07,1.135,1,,bismarck_gun_105_x1,1.08,1.15,1.025,,,,,,,,,,,
"gun_4_x2_germany_bb, bc, ca",,102,gun_4_x2,germany,"bb, bc, ca",,,,,,vdt_gun_200_x2,0.9,0.975,4.05,,spee_gun_150_x2,1.05,1.22,1.15,,bismarck_gun_105_x2,1.07,1.135,1,,bismarck_gun_105_x2,1.08,1.15,1.025,,,,,,,,,,,
"gun_4_x3_germany_bb, bc, ca",,102,gun_4_x3,germany,"bb, bc, ca",,,,,,,,,,,spee_gun_150_x3,1.05,1.22,1.15,,bismarck_gun_105_x3,1.07,1.135,1,,bismarck_gun_105_x3,1.08,1.15,1.025,,,,,,,,,,,
gun_4_x1_germany_cl,,102,gun_4_x1,germany,cl,,,,,,,,,,,spee_gun_150_x1,1.05,1.22,1.15,,bismarck_gun_b_150_x1,0.91,0.95,1.27,,bismarck_gun_b_150_x1,0.92,0.96,1.29,,,,,,,,,,,
gun_4_x2_germany_cl,,102,gun_4_x2,germany,cl,,,,,,,,,,,spee_gun_150_x2,1.05,1.22,1.15,,bismarck_gun_b_150_x2,0.91,0.95,1.27,,bismarck_gun_b_150_x2,0.92,0.96,1.29,,,,,,,,,,,
gun_4_x3_germany_cl,,102,gun_4_x3,germany,cl,,,,,,,,,,,spee_gun_150_x3,1.05,1.22,1.15,,bismarck_gun_b_150_x3,0.91,0.95,1.27,,bismarck_gun_b_150_x3,0.92,0.96,1.29,,,,,,,,,,,
"gun_5_x1_germany_bb, bc, ca,cl",,127,gun_5_x1,germany,"bb, bc, ca,cl",,,,,,vdt_gun_200_x1,1,1.07,1.55,,spee_gun_150_x1,1.25,1.46,1.15,,bismarck_gun_b_150_x1,1.01,1.056,1.27,,bismarck_gun_b_150_x1,1.025,1.07,1.29,,,,,,,,,,,
"gun_5_x2_germany_bb, bc, ca,cl",,127,gun_5_x2,germany,"bb, bc, ca,cl",,,,,,vdt_gun_200_x2,1,1.07,1.55,,spee_gun_150_x2,1.25,1.46,1.15,,bismarck_gun_b_150_x2,1.01,1.056,1.27,,bismarck_gun_b_150_x2,1.025,1.07,1.29,,,,,,,,,,,
"gun_5_x3_germany_bb, bc, ca,cl",,127,gun_5_x3,germany,"bb, bc, ca,cl",,,,,,,,,,,spee_gun_150_x3,1.25,1.46,1.15,,bismarck_gun_b_150_x3,1.01,1.056,1.27,,bismarck_gun_b_150_x3,1.025,1.07,1.29,,,,,,,,,,,
"gun_6_x1_germany_bb, bc, ca,cl",,152,gun_6_x1,germany,"bb, bc, ca,cl",,,,,,vdt_gun_200_x1,1.1,1.17,1.05,,spee_gun_150_x1,1.5,1.65,1.15,,bismarck_gun_150_x1,1.08,1.152,1.27,,bismarck_gun_150_x1,1.1,1.17,1.29,,,,,,,,,,,
"gun_6_x2_germany_bb, bc, ca,cl",,152,gun_6_x2,germany,"bb, bc, ca,cl",,,,,,vdt_gun_200_x2,1.1,1.17,1.05,,spee_gun_150_x2,1.5,1.65,1.15,,bismarck_gun_150_x2,1.08,1.152,1.27,,bismarck_gun_150_x2,1.1,1.17,1.29,,,,,,,,,,,
"gun_6_x3_germany_bb, bc, ca,cl",,152,gun_6_x3,germany,"bb, bc, ca,cl",,,,,,,,,,,spee_gun_150_x3,1.5,1.65,1.15,,bismarck_gun_150_x3,1.08,1.152,1.27,,bismarck_gun_150_x3,1.1,1.17,1.29,,,,,,,,,,,
"gun_7_x1_germany_bb, bc, ca,cl",,178,gun_7_x1,germany,"bb, bc, ca,cl",friedrich_gun_228_x1,0.8,0.8775,1.25,,vdt_gun_200_x1,1.2,1.27,1.05,,bismarck_gun_b_150_x1,1.16,1.23,1.25,,bismarck_gun_150_x1,1.182,1.25,1.27,,bismarck_gun_150_x1,1.2,1.27,1.29,,,,,,,,,,,
"gun_7_x2_germany_bb, bc, ca,cl",,178,gun_7_x2,germany,"bb, bc, ca,cl",friedrich_gun_228_x2,0.8,0.8775,1.25,,vdt_gun_200_x2,1.2,1.27,1.05,,bismarck_gun_b_150_x2,1.16,1.23,1.25,,bismarck_gun_150_x2,1.182,1.25,1.27,,bismarck_gun_150_x2,1.2,1.27,1.29,,,,,,,,,,,
